,매장명,구,주소,위도,경도
279,도봉중앙점,도봉구,서울 도봉구 도봉로181길 18 (도봉동),37.6842049,127.0448504
280,방학사거리점,도봉구,서울 도봉구 도봉로 677 (방학동),37.6625819,127.0410405
281,방학역점,도봉구,서울 도봉구 도봉로153길 15 (방학동),37.669757,127.0425203
282,방학점,도봉구,서울 도봉구 방학로 171 (방학동),37.6621271,127.0332303
283,방학중앙점,도봉구,서울 도봉구 도당로13길 22 (방학동),37.6657273,127.0352862
284,방학홈플러스점,도봉구,"서울 도봉구 도봉로 678 (방학동, 홈플러스데스코㈜방학점)",37.6648017,127.0437103
285,선덕고사거리점,도봉구,"서울 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)",37.6573579,127.0281843
286,신창점,도봉구,서울 도봉구 덕릉로 235 (창동),37.6388915,127.0380921
287,쌍문동점,도봉구,서울 도봉구 노해로 162 (쌍문동),37.6487826,127.0272818
288,쌍문역점,도봉구,서울 도봉구 도봉로117길 4 (쌍문동),37.6494003,127.034694
289,쌍문중앙점,도봉구,서울 도봉구 도봉로 519 (쌍문동),37.6568545,127.0152936
290,창동블루핀점,도봉구,서울 도봉구 마들로 550 (창동),37.6605123,127.049623
291,창동역점,도봉구,서울 도봉구 마들로11길 65 (창동),37.6533575,127.0496609
292,창동제일점,도봉구,서울 도봉구 노해로70길 81 (창동),37.6487061,127.0525283
293,창동중앙점,도봉구,서울 도봉구 노해로63길 78 (창동),37.6525232,127.0463148
294,창동하나로마트점,도봉구,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타)",37.6553982,127.0521044
295,창동학원가점,도봉구,서울 도봉구 해등로16길 61 (창동),37.65509040000001,127.0433286
296,창동현대타운점,도봉구,서울 도봉구 도봉로114길 22 (창동),37.6473276,127.0356466
297,경희대점,동대문구,서울 동대문구 경희대로 4 (회기동),37.5916824,127.0551428
298,경희대캠퍼스점,동대문구,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",37.5953632,127.0527612
299,답십리역점,동대문구,서울 동대문구 천호대로 265 (답십리동),37.56902609999999,127.0573024
300,답십리파크자이점,동대문구,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",37.5714784,127.0577096
301,동대문구청점,동대문구,서울 동대문구 천호대로 153-1 (용두동),37.5795817,127.0299297
302,동부병원사거리점,동대문구,서울 동대문구 무학로 104 (용두동),37.5735046,127.0309651
303,배봉초교사거리점,동대문구,서울 동대문구 답십리로63길 131 (장안동),37.5784698,127.069321
304,서울시립대점,동대문구,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",37.583249,127.0548191
305,외대점,동대문구,서울 동대문구 휘경로 12 (이문동),37.59582040000001,127.0612654
306,용두동사거리점,동대문구,서울 동대문구 왕산로 68 (용두동),37.5757009,127.034989
307,용두동점,동대문구,서울 동대문구 고산자로 413-1 (용두동),37.5766232,127.0379189
308,이문점 ,동대문구,서울 동대문구 신이문로 19 (이문동),37.6031045,127.064235
309,장안동사거리점,동대문구,서울 동대문구 답십리로 309 (장안동),37.572295,127.0748317
310,장안동점,동대문구,서울 동대문구 장한로 43 (장안동),37.5650632,127.0666931
311,장안중앙점,동대문구,서울 동대문구 사가정로25길 42 (장안동),37.5806425,127.0709617
312,장한평군자초교점,동대문구,서울 동대문구 한천로2길 53 (장안동),37.5627974,127.0613958
313,전농뉴타운점,동대문구,서울 동대문구 답십리로 77 (전농동),37.5750329,127.0496055
314,전농사거리점,동대문구,서울 동대문구 사가정로 132 (전농동),37.5775568,127.0595101
315,청량리점,동대문구,서울 동대문구 왕산로 225 (청량리동),37.5832353,127.0447165
316,촬영소사거리점,동대문구,서울 동대문구 답십리로 264 (장안동),37.5722268,127.0694723
